n	name	score	cards	games	flags	short	alt1
979	Annihilape	6.4	4	1		It imbues its fists with the power of the rage that it kept hidden in its heart.	When its anger rose beyond a critical point, this Pokémon gained power that is unfettered by the limits of its physical body.
980	Clodsire	0.6	0	1		When attacked, this Pokémon will retaliate by sticking thick spines out from its body.	It lives at the bottom of ponds and swamps.
981	Farigiraf	0.25	1	1	long	The hardened head from the tail protects the head of the main body as Farigiraf whips its long neck around to headbutt enemies.	Now that the brain waves from the head and tail are synced up, the psychic power of this Pokémon is 10 times stronger than Girafarig's.
982	Dudunsparce	4.8	3	1	deictic	This Pokémon uses its hard tail to make its nest by boring holes into bedrock deep underground.	It drives enemies out of its nest by sucking in enough air to fill its long, narrow lungs, then releasing the air in an intense blast.
983	Kingambit	6.06	5	1	names:Bisharp	Only a Bisharp that stands above all others in its vast army can evolve into Kingambit.	Though it commands a massive army in battle, it’s not skilled at devising complex strategies.
984	Great Tusk	4.56	2	1		Sightings of this Pokémon have occurred in recent years.	Klawf hangs upside-down from cliffs, waiting for prey.
985	Scream Tail	5.6	3	1		There has been only one reported sighting of this Pokémon.	It resembles a mysterious Pokémon described in a paranormal magazine as a Jigglypuff from one billion years ago.
986	Brute Bonnet	6.6	3	1		It is possible that the creature listed as Brute Bonnet in a certain book could actually be this Pokémon.	It bears a slight resemblance to a Pokémon described in a dubious magazine as a cross between a dinosaur and a mushroom.
987	Flutter Mane	4.76	2	1	deictic	This Pokémon has characteristics similar to those of Flutter Mane, a creature mentioned in a certain book.	It has similar features to a ghostly pterosaur that was covered in a paranormal magazine, but the two have little else in common.
988	Slither Wing	4.76	2	1	deictic	This mysterious Pokémon has some similarities to a creature that an old book introduced as Slither Wing.	This Pokémon somewhat resembles an ancient form of Volcarona that was introduced in a dubious magazine.
989	Sandy Shocks	3.1	1	1		No records exist of this Pokémon being caught.	It slightly resembles a Magneton that lived for 10,000 years and was featured in an article in a paranormal magazine.
990	Iron Treads	3.1	1	1		Sightings of this Pokémon have occurred in recent years.	It creates a gas out of poison and minerals from rocks.
991	Iron Bundle	6.4	4	1		It resembles a mysterious object mentioned in an old book.	Its shape is similar to a robot featured in a paranormal magazine article.
992	Iron Hands	3.3	1	1	deictic	This Pokémon shares many similarities with Iron Hands, an object mentioned in a certain expedition journal.	It is very similar to a cyborg covered exclusively by a paranormal magazine.
993	Iron Jugulis	6.6	3	1		It's possible that Iron Jugulis, an object described in an old book, may actually be this Pokémon.	It resembles a certain Pokémon introduced in a paranormal magazine, described as the offspring of a Hydreigon that fell in love with a robot.
994	Iron Moth	4.56	2	1		No records exist of this species being caught.	This Pokémon resembles an unknown object described in a paranormal magazine as a UFO sent to observe humanity.
995	Iron Thorns	2.51	2	1	long	Some of its notable features match those of an object named within a certain expedition journal as Iron Thorns.	It has some similarities to a Pokémon introduced in a dubious magazine as a Tyranitar from one billion years into the future.
996	Frigibax	7.06	5	1		Frigibax absorbs heat through its dorsal fin and converts the heat into ice energy.	This Pokémon lives in forests and craggy areas.
997	Arctibax	3.9	4	1	long	Arctibax freezes the air around it, protecting its face with an ice mask and turning its dorsal fin into a blade of ice.	It attacks with the blade of its frozen dorsal fin by doing a front flip in the air.
998	Baxcalibur	5.6	4	1	deictic	This Pokémon blasts cryogenic air out from its mouth.	It launches itself into battle by flipping upside down and spewing frigid air from its mouth.
999	Gimmighoul	5.6	4	1	deictic	This Pokémon was born inside a treasure chest about 1,500 years ago.	It lives inside an old treasure chest.
1000	Gholdengo	3.1	1	1		Its body seems to be made up of 1,000 coins.	It has a sturdy body made up of stacked coins.
1001	Wo-Chien	1.05	1	1	long	It drains the life-force from vegetation, causing nearby forests to instantly wither and fields to turn barren.	The grudge of a person punished for writing the king’s evil deeds upon wooden tablets has clad itself in dead leaves to become a Pokémon.
1002	Chien-Pao	4.1	1	1		The hatred of those who perished by the sword long ago has clad itself in snow and become a Pokémon.	This Pokémon can control 100 tons of fallen snow.
1003	Ting-Lu	4.1	1	1		The fear poured into an ancient ritual vessel has clad itself in rocks and dirt to become a Pokémon.	It slowly brings its exceedingly heavy head down upon the ground, splitting the earth open with huge fissures that run over 160 feet deep.
1004	Chi-Yu	4.56	2	1		It controls flames burning at over 5,400 degrees Fahrenheit.	The envy accumulated within curved beads that sparked multiple conflicts has clad itself in fire and become a Pokémon.
1005	Roaring Moon	0.55	1	1	long	It is possible that this is the creature listed as Roaring Moon in an expedition journal that still holds many mysteries.	According to an article in a dubious magazine, this Pokémon has some connection to a phenomenon that occurs in a certain region.
1006	Iron Valiant	5.56	2	1		It's possible that this is the object listed as Iron Valiant in a certain expedition journal.	It has some similarities to a mad scientist’s invention covered in a paranormal magazine.
1007	Koraidon	6.26	5	1	deictic	This seems to be the Winged King mentioned in an old expedition journal.	This Pokémon resembles Cyclizar, but it is far burlier and more ferocious.
1008	Miraidon	4.8	3	1	deictic	This seems to be the Iron Serpent mentioned in an old book.	Much remains unknown about this creature. It resembles Cyclizar, but it is far more ruthless and powerful.
1009	Walking Wake	2.3	1	1	deictic	This ferocious creature is shrouded in mystery.	It resembles an illustration published in a paranormal magazine, said to be a depiction of a super-ancient Suicune.
1010	Iron Leaves	0.75	1	1	long	According to the few eyewitness accounts that exist, it used its shining blades to julienne large trees and boulders.	Many of its physical characteristics match those of a Virizion from the future that was covered in a paranormal magazine.
1011	Dipplin	5.6	3	1		The head sticking out belongs to the fore-wyrm, while the tail belongs to the core-wyrm.	Dipplin is two creatures in one Pokémon. Its evolution was triggered by a special apple grown only in one place.
1012	Poltchageist	-2.45	0	1	long	Supposedly, the regrets of a tea ceremony master who died before perfecting his craft lingered in some matcha and became a Pokémon.	Poltchageist looks like a regional form of Sinistea, but it was recently discovered that the two Pokémon are entirely unrelated.
1013	Sinistcha	4.56	2	1		It prefers cool, dark places, such as the back of a shelf or the space beneath a home's floorboards.	It pretends to be tea, trying to fool people into drinking it so it can drain their life-force.
1014	Okidogi	4.1	1	1		Okidogi is a ruffian with a short temper. It can pulverize anything by swinging around the chain on its neck.	After all its muscles were stimulated by the toxic chain around its neck, Okidogi transformed and gained a powerful physique.
1015	Munkidori	2.31	2	1	long	Munkidori keeps itself somewhere safe while it toys with its foes, using psychokinesis to induce intense dizziness.	The chain is made from toxins that enhance capabilities.
1016	Fezandipiti	4.1	1	1		Fezandipiti beats its glossy wings to scatter pheromones that captivate people and Pokémon.	Fezandipiti owes its beautiful looks and lovely voice to the toxic stimulants emanating from the chain wrapped around its body.
1017	Ogerpon	3.76	2	1	deictic	This mischief-loving Pokémon is full of curiosity.	This Pokémon's type changes based on which mask it's wearing.
1018	Archaludon	3.1	1	1		It gathers static electricity from its surroundings.	It digs holes on mountains, searching for food.
1019	Hydrapple	0.6	0	1		Seven syrpents live inside an apple made of syrup.	These capricious syrpents have banded together.
1020	Gouging Fire	0.6	0	1		There are scant few reports of this creature being sighted.	It resembles an eerie Pokémon once shown in a paranormal magazine.
1021	Raging Bolt	0.6	0	1		It's said to incinerate everything around it with lightning launched from its fur.	It bears resemblance to a Pokémon that became a hot topic for a short while after a paranormal magazine touted it as Raikou's ancestor.
1022	Iron Boulder	0.6	0	1		It was named after a mysterious object recorded in an old book.	It resembles a Pokémon described in a dubious magazine as a Terrakion that had been modified by an evil organization.
